the	die	32743
text	teks	26257
of	van	21979
a	n	19984
and	en	15947
is	is	11400
to	om	11350
in	in	8068
uses	gebruik	6428
of the	van die	5129
an	n	4535
text uses	teks gebruik	4210
is	word	3868
text is	teks is	3654
that	wat	3369
or	of	3315
with	met	3296
by	deur	3158
on	op	3078
the text	die teks	3078
as	as	2879
can	kan	2819
in the	in die	2731
for	vir	2501
are	is	2390
is a	is n	2285
reader	leser	2277
between	tussen	2121
texts	tekste	2040
author	skrywer	1971
use	gebruik	1879
that	dat	1753
contains	bevat	1737
are	word	1729
to	na	1682
the reader	die leser	1592
language	taal	1531
of a	van n	1463
its	sy	1452
different	verskillende	1382
this	hierdie	1348
has	het	1344
not	nie	1334
use of	gebruik van	1314
structure	struktuur	1311
text contains	teks bevat	1307
through	deur	1301
rhetorical	retoriese	1227
readers	lesers	1225
it	dit	1190
as a	as n	1183
to	tot	1139
about	oor	1127
their	hul	1111
uses a	gebruik n	1096
visual	visuele	1036
meaning	betekenis	1018
social	sosiale	1014
how	hoe	1002
used	gebruik	998
hypertext	hiperteks	978
narrative	narratiewe	975
to	aan	964
in a	in n	958
more	meer	953
non	nie	952
literary	literêre	951
information	inligting	941
often	dikwels	916
images	beelde	893
on the	op die	893
into	in	885
theory	teorie	875
text is	teks word	862
than	as	841
from	van	835
creates	skep	835
new	nuwe	832
text uses a	teks gebruik n	816
is the	is die	811
of the text	van die teks	794
linear	lineêre	789
is an	is n	768
sentence	sin	745
from	uit	741
cultural	kulturele	736
narrative	narratief	720
form	vorm	702
in	op	702
other	ander	685
in the text	in die teks	672
reader's	leser	662
text's	teks	654
refers	verwys	651
content	inhoud	648
and the	en die	629
text is a	teks is n	621
text has	teks het	619
book	boek	611
specific	spesifieke	604
with the	met die	603
textual	tekstuele	597
discusses	bespreek	597
narrator	verteller	597
makes	maak	594
characters	karakters	593
two	twee	592
also	ook	591
presents	bied	581
within	binne	581
words	woorde	580
refers to	verwys na	579
used to	gebruik om	569
but	maar	568
elements	elemente	563
by the	deur die	562
the reader's	die leser	559
to	op	558
a text	n teks	557
his	sy	549
one	een	544
image	beeld	542
examines	ondersoek	523
reading	lees	522
complex	komplekse	521
its	die	521
several	verskeie	519
to	met	518
multiple	veelvuldige	517
for the	vir die	517
various	verskeie	514
has a	het n	509
focuses	fokus	506
many	baie	505
way	manier	499
ideas	idees	497
describes	beskryf	496
emphasizes	beklemtoon	491
non linear	nie lineêre	486
hypertextual	hipertekstuele	477
own	eie	475
reading	leeservaring	475
relationship	verhouding	474
which	wat	469
article	artikel	467
offers	bied	464
have	het	454
provides	verskaf	448
author's	skrywer	446
audience	gehoor	445
story	verhaal	443
the use	die gebruik	438
based	gebaseer	438
text presents	teks bied	436
the use of	die gebruik van	436
of	uit	436
with a	met n	435
story	storie	430
will	sal	418
author uses	skrywer gebruik	418
to	vir	417
focuses on	fokus op	416
style	styl	415
very	baie	413
must	moet	410
historical	historiese	407
both	beide	407
about the	oor die	404
to the	na die	403
text discusses	teks bespreek	402
based on	gebaseer op	402
form of	vorm van	400
discourse	diskoers	397
creates a	skep n	396
text and	teks en	394
structure of	struktuur van	391
traditional	tradisionele	387
that the	dat die	386
metaphor	metafoor	386
emotional	emosionele	385
such	soos	379
a non	n nie	378
postmodern	postmoderne	373
people	mense	372
context	konteks	372
on	oor	372
critical	kritiese	371
no	geen	370
certain	sekere	368
includes	sluit	367
rather	eerder	366
sentences	sinne	363
relationship between	verhouding tussen	359
between the	tussen die	359
role	rol	357
idea	idee	354
uses the	gebruik die	353
approach	benadering	352
linguistic	linguistiese	351
concept	konsep	350
digital	digitale	350
personal	persoonlike	349
on a	op n	344
contains a	bevat n	344
to the	aan die	341
important	belangrike	341
culture	kultuur	341
work	werk	340
the author	die skrywer	339
rather than	eerder as	339
allows	laat	338
through the	deur die	336
they	hulle	335
is used	word gebruik	333
usually	gewoonlik	332
experience	ervaring	331
human	menslike	325
what	wat	324
relies	staat	323
text creates	teks skep	323
relies on	staat op	322
on	van	322
of this	van hierdie	322
political	politieke	321
text makes	teks maak	320
the text is	die teks is	320
example	voorbeeld	319
the author's	die skrywer	316
nature	aard	316
in a	op n	315
by a	deur n	314
series	reeks	312
irony	ironie	312
sense	gevoel	310
ways	maniere	309
part	deel	308
sense of	gevoel van	308
text has a	teks het n	306
technology	tegnologie	306
metaphors	metafore	302
theoretical	teoretiese	302
process	proses	299
reality	werklikheid	297
text examines	teks ondersoek	297
without	sonder	295
using	deur	294
examines the	ondersoek die	293
variety	verskeidenheid	292
students	studente	288
when	wanneer	287
questions	vrae	287
encourages	moedig	286
a non linear	n nie lineêre	285
media	media	285
attention	aandag	284
subject	onderwerp	284
uses an	gebruik n	284
concepts	konsepte	283
is to	is om	283
nature of	aard van	282
is used to	word gebruik om	281
explains	verduidelik	281
designed	ontwerp	280
short	kort	279
strategies	strategieë	279
references	verwysings	279
emphasizes the	beklemtoon die	276
knowledge	kennis	275
meanings	betekenisse	275
was	is	274
essay	opstel	274
part of	deel van	272
repetition	herhaling	271
text offers	teks bied	270
we	ons	270
techniques	tegnieke	268
academic	akademiese	266
hyperlinks	hiperskakels	266
is not	is nie	265
writer	skrywer	265
to the	tot die	264
text provides	teks verskaf	264
communication	kommunikasie	262
interactive	interaktiewe	261
representation	voorstelling	260
a specific	n spesifieke	260
a series	n reeks	260
discusses the	bespreek die	259
in this	in hierdie	258
our	ons	258
time	tyd	257
formal	formele	257
like	soos	257
focus	fokus	256
is based	is gebaseer	255
is based on	is gebaseer op	254
this text	hierdie teks	253
character	karakter	252
events	gebeure	252
written	geskryf	251
text can	teks kan	251
analysis	ontleding	250
first	eerste	250
who	wat	249
provides	bied	249
text contains a	teks bevat n	248
example of	voorbeeld van	246
used	wat	246
passage	gedeelte	246
the relationship	die verhouding	245
understanding	begrip	244
terms	terme	244
voice	stem	244
consists	bestaan	243
modern	moderne	242
novel	roman	242
her	haar	242
text refers	teks verwys	242
links	skakels	241
a sense	n gevoel	241
a sense of	n gevoel van	239
as an	as n	239
